number of bedrooms,living area,Price,Built Year,Distance from the airport
3,2340,1570000,1954,51
4,4930,1470000,2004,70
4,3100,1290000,1981,56
4,2970,829000,1973,71
3,1930,825000,1953,59
4,3780,782000,2001,63
5,3290,762500,2005,74
4,2770,748000,2001,62
6,2660,730000,1937,68
5,2570,675000,1987,78
3,2400,660000,1964,52
4,2020,633000,1990,56
3,1920,625000,1977,50
4,1880,530200,2010,59
3,940,520000,1903,58
3,1560,519000,1973,54
4,2990,514500,1976,58
4,3610,510000,1993,59
4,2230,500000,1962,72
3,2760,500000,1990,53
3,2090,489500,1977,68
3,1440,476000,2001,55
4,1910,475000,1956,74
4,2440,475000,2006,71
4,2420,440000,1962,53
3,1950,430000,2009,58
3,1600,408000,1960,60
2,800,350000,1949,77
4,2320,345000,1973,60
3,1600,332500,1950,60
3,1870,325000,2002,67
3,2300,325000,1970,80
4,1300,287000,1963,73
3,2160,273000,1991,63
3,2160,272000,1978,77
3,1330,263500,1981,73
3,970,262500,1980,63
3,1570,256000,1996,59
1,680,252000,1910,80
3,1510,247000,1990,76
3,1320,243000,1996,50
2,750,238000,1943,53
3,1520,230000,1968,63
2,870,166000,1944,52
3,1230,147500,1960,62
3,3470,2150000,1989,53
3,2600,1700000,1970,56
4,3920,1650000,2002,61
4,2890,1100000,2013,79
4,3720,960000,2014,55
5,4210,937500,2004,73
4,3090,855000,1978,59
4,3890,850000,2007,58
2,2130,830000,1963,51
5,2990,802541,2014,55
4,3020,780000,1976,75
2,1360,755000,1999,74
3,2950,739000,2003,59
4,2660,729000,2003,72
4,2000,725000,1950,69
4,2840,713000,1984,79
5,3540,707000,1926,59
4,2770,652427,1979,73
2,920,600000,1938,71
4,3870,600000,2007,54
3,1370,593500,1918,72
4,1490,570000,1918,52
3,1950,550000,1965,60
3,1700,500000,1952,59
4,2110,490000,1978,68
3,920,490000,1926,61
3,1680,485000,1988,52
3,1690,482500,2005,53
4,1930,469500,1980,58
3,1830,467500,1956,64
4,2320,445000,1968,69
4,2200,423000,1962,52
7,2940,420000,1977,66
4,1870,419950,1969,63
3,1050,400000,1952,71
6,3060,400000,1967,61
2,1370,385000,1960,53
3,1340,383000,1967,55
3,1520,362500,1954,59
3,1890,344500,1976,55
4,3504,330000,2006,53
4,1180,330000,1965,70
3,1260,325000,1972,68
4,1730,317500,1963,66
3,1060,317000,1981,64
4,2460,313000,1993,70
3,1170,312500,1960,69
3,2370,300523,1987,55
4,1981,299999,2013,75
4,1810,299950,1986,54
3,1620,276750,1989,70
4,1600,270000,2009,78
3,2244,269950,2012,64
4,2140,245000,1963,73
3,1660,241000,1976,68
3,1060,212000,1986,77
3,970,165000,1967,52
3,840,135000,1943,54
2,960,99000,1948,69
5,3090,1630000,1964,72
3,3170,1090000,1957,79
9,3680,700000,1908,75
3,1740,665000,1974,78
4,3120,653000,2003,57
4,2220,652600,2014,58
4,2400,608000,1956,64
6,1730,563000,1918,50
3,2920,555000,1908,72
3,1550,537000,1957,73
5,2670,480000,2013,63
3,1250,463000,1955,72
3,1480,459000,2014,66
2,700,430000,1922,73
3,1250,405000,1975,52
3,1230,392000,1952,72
2,962,390000,2012,53
4,2020,375000,1966,51
2,1390,365000,1946,77
3,1250,344000,2007,55
3,1810,342500,1993,61
3,1740,340000,1959,74
3,1120,335000,1977,60
4,2260,325000,2002,61
2,620,325000,1926,69
3,1230,320000,1955,50
3,890,315000,1957,67
3,1030,299950,1972,53
4,1990,283500,1999,55
4,1170,282500,1942,69
4,2520,272000,1979,57
6,2000,265000,1960,51
3,1360,248500,1988,61
3,1440,245000,1985,80
3,1550,240000,1962,78
3,1350,237500,1986,79
2,1130,216000,1953,67
3,1280,215000,1964,73
3,1240,214000,1970,74
3,1230,200000,1947,54
3,1280,190000,1961,54
4,1310,154200,1948,62
5,4850,3570000,2007,55
4,3730,1780000,1985,76
3,2100,1150000,1953,79
3,2140,998500,1905,52
3,2190,988000,1923,76
4,5545,937500,2003,68
4,3580,879900,1979,54
4,3320,850000,2012,60
3,1290,790000,1930,52
3,3190,765000,2007,60
4,2430,760000,1965,66
4,3210,750000,1976,77
4,3065,729000,2014,55
4,3010,728725,2006,75
4,3133,685000,1965,51
5,2990,625000,2007,79
5,3670,605000,1955,51
4,1770,596500,1986,50
4,3000,585000,2005,58
5,2600,580000,1914,65
4,1810,575000,1909,75
3,1310,553000,1948,74
3,1430,551100,1954,76
3,1810,550000,1922,66
4,2050,540000,2001,65
3,2810,528000,2003,58
3,1820,515000,1949,79
2,1540,499000,1980,77
3,1540,485000,1938,72
3,1590,484950,2014,74
2,1440,445000,2008,66
4,2130,445000,1972,59
2,880,406000,1924,55
4,2290,390000,1920,77
3,2280,380000,1985,59
3,1340,354000,1972,75
5,2980,350000,1975,79
4,2260,350000,1965,79
2,1150,349000,1951,76
3,2270,340500,1947,58
4,2470,332000,2002,58
2,1350,330000,1949,51
6,1930,326000,1971,57
3,1830,325000,1995,59
4,1710,320000,1969,67
2,1960,305000,1936,62
3,1480,291000,1975,54
4,2240,290000,1946,62
3,1400,285000,1956,51
3,2000,273500,1967,68
2,760,261590,1943,65
3,1050,250000,2006,64
3,1540,180500,1973,57
4,1460,162000,1975,66
5,5840,2200000,1988,75
3,3490,1620000,1960,71
4,4050,1200000,1990,64
3,2860,1010000,1999,50
4,3270,987500,1974,74
5,3920,918000,2004,69
4,2290,899000,1960,77
2,2720,875000,1936,61
3,2310,815000,1926,59
3,2190,770000,1979,65
4,3620,768500,1965,67
4,3000,760000,1949,75
4,3320,665000,1960,57
4,2780,645000,1955,55
3,2230,635000,2014,73
5,3380,600000,2011,54
4,3680,595000,1970,74
3,1370,524000,2009,69
4,1980,510000,1980,72
3,2260,496500,1994,70
2,1070,455000,1908,65
3,1190,425000,1947,68
3,2170,419000,2002,71
4,1780,395000,1964,74
4,2560,388000,2005,77
3,1760,387000,1984,63
2,1280,386500,1984,72
5,2100,375000,1970,65
3,1580,375000,2013,64
5,3270,357500,2002,53
3,950,350000,1977,68
5,1880,349950,1952,80
2,1050,349950,1913,76
4,1700,331500,1955,74
3,1160,330000,1956,70
5,3290,329500,1968,80
2,1802,320000,1961,59
4,2340,305000,1965,62
2,1290,305000,2008,59
3,2090,288000,1977,66
4,1780,240000,1950,56
4,1870,230000,1928,80
3,1760,224000,1963,75
3,1270,218250,1967,71
2,670,185000,1947,51
4,1400,185000,1957,72
3,1010,185000,1971,77
3,1020,180000,1961,53
4,1570,171800,1950,60
3,4560,3200000,1995,75
4,3910,1650000,2006,52
6,5960,1140000,2005,60
4,3280,928950,2014,57
4,3090,908950,2014,65
4,2580,880000,2013,54
2,1440,803000,1928,64
4,3270,700000,1971,58
2,1360,640000,1936,79
5,2050,629000,1912,50
4,2090,610000,1980,74
4,2840,600000,1958,61
3,2080,600000,1966,68
4,1950,560000,1992,50
3,1810,550000,1960,70
3,1310,524000,1970,71
3,1540,520000,1964,52
4,3180,510000,2001,68
6,3028,480000,2005,58
3,1450,465000,2005,77
3,2260,435000,2007,77
3,1270,367500,1969,65
2,1170,335000,1941,55
2,880,323000,1945,77
5,1890,322968,1960,60
4,1950,322000,2000,54
4,2020,319000,2010,73
2,870,313000,2004,50
4,2090,311000,1962,61
4,2600,300000,2003,72
3,1670,295000,1956,63
3,1690,292500,1987,66
4,1830,270000,1951,75
3,1820,270000,1992,71
2,770,264950,1947,67
3,1030,249000,1943,75
4,2240,325000,2002,73
5,6300,2750000,2004,57
4,7420,1950000,2002,79
4,3110,1300000,1990,53
3,2980,1230000,1964,66
4,2390,984000,1962,59
4,2490,950000,1926,54
3,2800,920000,2005,76
2,3570,835000,1998,80
4,2950,835000,1986,57
4,2370,800000,1926,54
6,3300,780000,1963,64
4,2870,710000,1980,79
2,1890,618000,1928,54
4,2500,565000,1983,58
2,1680,550285,2004,52
3,1630,540000,2014,65
3,1440,530000,1951,71
3,1650,500000,2001,74
3,1800,495000,1989,63
3,1960,449000,1984,74
4,2880,440000,1988,60
4,2060,435000,1979,66
3,1770,419950,1977,50
4,2150,419000,1950,53
4,2390,415000,1989,78
3,1950,400000,1914,53
5,2540,385000,1962,59
3,1330,374500,1968,78
4,1820,359000,1976,72
1,760,344000,2006,70
4,2390,338500,1997,70
4,2220,332500,1998,55
4,2240,330000,1994,62
3,1920,329000,1978,69
3,1250,320000,1968,80
4,1980,287000,1977,79
4,1740,265000,1964,78
4,1840,262000,1965,60
3,920,237000,1928,78
4,2140,236500,1925,71
2,1110,222900,1944,77
4,1910,200000,1980,56
5,4410,1880000,2014,52
4,5000,1690000,2002,51
4,2480,855000,1973,55
4,3190,832000,1980,54
3,1760,810000,1953,65
5,3320,769000,1964,68
3,1000,725000,1951,60
3,2216,667000,1968,74
4,2400,635000,1957,51
4,2720,635000,2006,75
3,1540,630000,1944,71
4,2990,594491,2013,51
2,1560,579000,2004,54
4,2720,560000,2008,65
2,2690,515000,1987,72
5,3810,515000,1967,78
3,1520,500000,2000,73
3,1440,500000,1988,53
2,1290,489000,2007,74
4,1960,460000,1971,80
4,3460,460000,1932,59
2,1020,455000,2001,72
2,1510,451101,1985,50
3,2740,441000,1998,52
3,1910,440000,1997,76
2,750,425000,1933,64
3,2150,410000,2013,56
3,1150,358000,1976,51
3,1240,357823,1968,53
4,2156,347500,2012,60
2,1270,335000,2012,58
3,1580,320000,1981,63
3,1060,320000,1958,58
3,1900,314000,1984,50
3,1260,300000,1987,78
3,1670,294000,1929,62
2,670,272000,1942,74
3,1590,229000,1956,70
3,1280,215000,1991,75
3,1640,207500,1968,68
3,1160,190000,1918,72
3,1250,175000,1971,63
3,1340,160000,1935,64
5,4770,1480000,1990,70
5,3450,1380000,1905,69
4,4700,1180000,1999,75
3,1760,1150000,1940,53
3,3610,1020000,1930,70
4,2770,820000,2002,79
3,2280,760000,1973,75
5,3160,757500,1977,63
4,3040,700000,2008,50
3,3650,680000,2011,75
3,1510,675000,2008,54
3,2700,665000,1947,75
2,1010,658000,1926,55
4,2020,599500,1984,78
3,2730,570000,1978,70
5,2450,559950,2005,53
3,2140,554000,2005,75
4,2650,525000,2011,62
3,1780,509000,1996,79
4,1940,500000,1995,80
4,1500,470000,1906,55
3,2714,465000,2005,58
4,2640,462000,1979,60
3,1560,435000,2002,67
3,1820,425000,1967,67
2,610,400000,1918,72
3,2510,358000,1988,56
3,1450,357500,1952,51
3,1660,343500,2002,51
3,1580,340000,1948,58
3,2100,335000,1952,67
3,2196,333500,2006,66
3,1500,332500,1953,78
3,2300,330000,1977,75
3,2300,320000,1939,73
6,3390,303500,2007,62
4,1890,300000,1964,52
4,2050,290000,1973,60
4,2190,286000,1978,55
3,1740,280000,2010,60
3,1760,272000,1966,56
4,1670,270000,1961,80
2,1090,265000,1970,62
3,1040,250000,1956,53
3,1870,248000,2007,58
3,1670,235000,1990,52
4,1700,220000,1954,72
2,1120,215000,2004,76
2,790,212000,1944,70
3,1900,212000,1968,77
2,580,109000,1941,74
4,3580,2050000,1915,66
4,4020,1900000,2007,72
7,5370,884900,1967,58
5,3230,834950,2014,55
5,4500,750000,2007,80
3,3300,729000,1976,55
3,1800,719000,1947,56
6,3400,715000,1977,50
3,1980,703300,1932,73
3,1660,658000,1919,80
6,2020,599950,1994,72
4,3390,583000,1990,71
5,2200,547000,1971,55
4,2830,515500,2005,58
2,1310,505000,1929,75
2,1280,495000,1929,62
4,2700,470000,1999,68
2,1450,465000,1940,63
3,1870,460000,1936,66
1,1020,435500,1937,63
3,1630,422120,1987,68
3,1810,420000,1968,50
2,1800,390000,1947,69
3,1350,389000,2006,55
3,2200,315000,1964,56
3,1060,291850,1963,54
3,1150,285000,1927,57
2,850,280000,1923,71
3,1840,275000,1983,51
4,2490,275000,1978,58
3,1450,271900,1991,72
3,1750,265000,1969,65
3,1440,255000,1965,63
2,990,245000,1908,56
3,1500,240000,1981,70
4,1690,238000,1979,73
3,1430,235000,1961,51
3,1090,235000,1961,60
3,1460,233000,1979,70
3,1250,221000,1965,71
3,1090,220000,1954,68
3,1210,215000,1918,59
3,1610,203000,1978,66
4,1720,200000,1994,53
3,1000,140000,1955,73
4,4020,1950000,1989,63
4,3240,1590000,1953,69
4,3620,919000,1993,66
4,3880,917500,1984,66
4,3570,910000,1990,55
4,2420,820000,1905,59
4,3120,790000,1977,51
4,3970,775000,2000,67
4,2620,749950,1990,65
5,4720,745000,1975,78
4,3100,735000,2005,72
3,3110,700000,2002,75
3,2320,674000,2014,70
3,2800,650000,1965,63
4,2820,635000,1911,52
3,2140,620000,1947,74
3,2200,605000,1988,58
4,3990,570000,1999,61
4,3080,560000,1990,55
4,3650,550000,2014,70
3,1300,539900,2005,67
3,1690,479000,2003,73
3,2430,471500,2009,68
4,2550,465000,1996,56
4,2680,463000,1974,72
3,1820,453000,1955,58
5,1900,450000,1969,56
4,1770,447500,1924,74
3,1040,440000,2007,64
4,2650,435000,2000,56
3,1720,432500,1949,61
3,1560,415000,1903,50
3,1570,404600,1958,67
3,1600,400000,2004,56
3,1720,389700,2011,63
3,1430,375000,1928,67
3,1920,372000,1990,71
3,1770,370000,1966,60
2,910,365000,1936,70
4,1600,356000,1938,58
3,1330,348000,1952,65
3,2670,345000,1990,51
3,940,341000,1955,77
4,1250,330000,1951,74
3,1490,300000,1954,60
1,680,291970,1952,62
4,2390,278226,2006,66
2,1610,278000,1979,68
3,1390,218500,1987,61
2,830,200000,1920,62
3,840,199990,1969,56
3,930,176500,1910,62
2,790,115000,1930,56
3,1480,235000,1978,57
4,4030,855000,2006,64
2,1570,657000,2014,52
4,3260,552500,2008,65
4,3052,425000,2004,68
4,2200,355000,2005,56
4,2600,339900,1969,59
5,2190,250000,1963,52
3,1200,243000,1975,79
3,2044,1000000,1996,73
4,2730,905000,2009,72
3,3060,864000,1984,61
3,2240,831000,1957,52
3,2480,775000,2014,64
4,2590,760000,1979,50
4,2095,670000,2002,58
3,1670,615000,1954,76
2,1040,596000,1910,58
6,3870,585000,1976,61
3,1570,560000,1940,62
3,2370,545000,1952,50
4,2050,545000,1967,64
3,1740,545000,2008,56
4,2340,544000,2005,59
3,1460,539000,1971,76
4,1880,538000,1965,59
4,1580,537000,1910,75
3,2510,535000,2001,74
4,3056,524225,2014,75
3,1700,520000,1919,80
4,1690,519990,2014,64
3,2090,456500,1975,71
3,2250,445000,1994,50
5,2610,440000,2005,80
4,1200,436000,1908,78
3,2520,420000,1977,65
6,1370,415000,1931,71
2,1160,389000,1949,65
2,980,352500,2008,56
3,1580,350000,1979,54
4,2070,348000,2003,76
3,1660,342000,1990,72
3,1490,316000,1998,68
3,1470,300000,1961,77
3,2010,299000,1984,72
3,1810,290000,1970,76
4,2180,279000,1987,67
3,1410,274950,1983,74
4,1610,259950,1989,78
3,1960,204250,1984,63
3,1530,199950,1993,59
3,1140,197200,1942,51
1,780,190000,1945,53
3,1370,170000,1959,79
2,780,165000,1947,53
4,3130,1380000,2014,64
2,3950,1310000,1991,66
3,4030,1310000,2006,77
3,3240,1290000,1987,50
4,3810,900000,2003,79
3,2940,885000,2014,51
3,1820,795000,1997,78
4,3720,760000,2004,72
3,1860,730000,2010,60
4,2000,715000,1911,54
6,3500,682500,1980,77
4,2740,625000,1961,53
3,2570,621500,1984,56
4,2210,620000,1985,76
3,2330,585000,1983,66
4,2550,560000,1968,79
5,2450,555000,2007,60
3,1630,541000,2013,56
4,2880,535000,2002,70
3,1640,475000,1969,72
3,1690,464550,1967,54
3,1630,464000,1912,71
3,890,455000,1926,80
4,3060,455000,1958,76
2,980,452000,1904,50
4,1800,439000,1942,71
3,3192,427000,2014,66
3,1760,419000,1990,53
4,1490,410000,1942,51
3,1230,393500,2004,67
4,2547,392440,2014,50
4,2340,385000,2009,56
4,2640,383000,2004,66
4,1890,375000,1981,76
4,2300,353000,2006,65
3,1860,350000,1995,73
3,2230,340000,1968,75
3,1400,334000,1961,58
3,2010,319000,1964,52
2,970,315000,1939,78
3,1490,312500,1976,51
4,1820,290000,1918,62
1,1040,272000,1991,69
4,1430,270000,1947,74
3,1360,245000,1949,57
3,1530,245000,1979,79
3,1450,222500,1990,55
3,1720,220000,1981,53
3,1740,219000,1977,79
3,1280,216000,1956,74
2,1070,212000,1949,62
3,1600,205000,1993,55
4,1420,205000,1962,59
3,1070,152000,1953,75
2,1080,140000,1908,71
3,1150,120000,1943,73
4,7850,2700000,2006,74
3,2350,1200000,2001,50
4,2760,1100000,1955,68
4,3680,1050000,1959,61
5,2700,935000,2009,57
4,3380,865000,2007,51
4,2820,810000,1927,55
3,2070,781000,1931,72
3,2610,780000,1997,78
3,1240,699999,1968,71
4,2520,657500,1980,62
5,3920,650500,1955,78
2,1450,650000,1903,64
4,2570,626000,1958,78
4,2640,610000,1947,71
4,2600,610000,1994,61
3,2370,577000,1985,75
5,2650,536000,1965,53
4,1660,535000,1920,50
3,1630,507200,2000,53
4,1980,500000,1910,67
1,850,490000,1906,80
4,2050,485000,1968,77
5,2010,465000,1990,71
6,2270,435000,1964,79
3,1650,422250,1977,70
2,920,400000,1952,72
4,2100,380000,2002,57
4,1660,374950,1974,51
3,2298,372000,1969,58
3,1070,370000,2004,77
2,1030,367500,2004,75
4,1460,360000,1928,74
5,2120,360000,1906,74
3,1250,345000,1964,52
3,950,333000,1944,56
4,2140,329950,1986,61
3,2080,325000,1950,50
3,1400,320000,1954,75
4,1300,315000,1953,52
4,1610,305000,1952,58
4,2040,289950,1993,58
2,1340,275000,1989,51
3,1610,263500,1977,75
3,1490,260250,1993,62
3,1610,225000,1990,70
2,1240,170000,1950,60
2,670,157500,1905,52
4,6370,1800000,2008,52
4,3550,952990,2013,77
2,2200,950000,2007,51
4,3510,782000,1997,79
4,3120,760000,1992,77
4,3600,760000,2004,77
4,3200,720000,2004,50
4,3010,695000,2005,64
3,1780,625000,1922,64
3,2010,625000,2009,76
3,2110,615000,1978,57
3,970,600000,1950,70
4,2110,585000,2007,53
3,1460,580000,1928,69
4,1900,579000,2014,67
3,1370,563250,1982,66
3,2460,563225,1918,58
4,2940,560000,2000,52
3,1520,550000,1912,54
3,1850,510000,1968,61
3,1440,509990,1921,75
4,2370,495000,1995,61
5,2590,480000,1958,60
3,1950,480000,1983,51
2,710,480000,1950,79
3,1570,478000,1977,53
4,2860,460000,1957,55
4,1900,459000,1954,66
3,1650,429500,1972,57
2,790,418500,1943,69
3,1440,410000,1979,72
4,2320,400000,1998,67
4,3527,340000,2005,63
3,1380,299500,1977,73
2,1250,290000,1958,63
4,1450,282510,1932,64
3,1650,264500,1976,74
4,1820,261000,1968,80
3,1460,259950,1942,54
4,1660,255000,2009,71
3,2840,250000,1951,63
3,1750,250000,2012,70
2,900,243500,1948,69
3,1820,239975,1959,64
3,1570,227064,1908,77
3,1120,225000,1987,74
2,1010,200000,1956,66
3,1390,162500,1967,50
3,2990,900000,1951,76
4,2950,650000,1979,68
3,1870,615000,1992,54
4,4060,530000,2007,53
3,1760,575000,1994,59
3,2140,550000,1958,51
3,1780,312000,2011,74
6,5770,1680000,1998,51
3,2710,1250000,1959,56
3,3280,925000,1979,51
5,2750,840000,1926,65
5,2240,805000,1963,75
4,3010,769000,2005,65
5,3500,750000,1967,59
6,2730,733000,1962,69
3,4330,722800,1985,60
3,1420,716000,1904,51
4,2140,675000,2005,60
4,2480,650000,1946,50
3,2570,625700,1968,68
5,3490,610000,1957,68
3,1310,600000,1901,57
3,2080,594000,1990,58
3,1660,578000,1937,53
5,1970,575000,1959,64
5,4340,537500,1979,77
4,1870,520000,1977,67
4,2440,484000,1976,54
2,1040,450000,2003,53
4,1870,449000,1956,51
4,2080,440000,1976,71
4,2180,440000,1966,58
3,2340,438000,1965,76
2,960,432000,1916,79
3,1490,429000,2014,57
4,2740,415000,1990,61
2,1200,389000,2006,69
3,1760,388000,1962,62
4,2260,380000,1924,69
4,2490,364900,1996,52
3,2040,350000,2009,57
3,2340,345000,1993,63
3,2650,340000,1952,62
3,1300,315500,1969,58
3,1900,315000,1954,68
2,1120,315000,1942,61
3,1930,295000,1967,80
4,1870,285000,1977,51
3,1530,252000,1960,51
3,1650,251000,1989,52
4,2130,233000,1968,76
2,1300,230000,2004,59
3,1540,229000,1953,60
3,1020,225000,2004,61
2,860,170000,1924,72
3,3450,2230000,1949,73
4,4870,1840000,1995,78
4,3810,1580000,1989,80
4,2880,1100000,1926,66
4,3695,994900,2014,60
4,2960,857500,1952,55
2,1611,850000,2005,50
3,1440,805500,1952,53
4,2540,799990,1910,51
5,2640,750000,1954,56
3,1890,726000,1915,69
4,2720,680000,1985,57
3,2230,679950,2014,73
4,2620,678500,1992,80
2,1110,625000,1961,78
5,2140,621500,1968,51
4,2360,615000,1977,75
2,1290,600000,1924,57
3,3310,572800,2015,63
3,1490,550000,1959,73
4,2320,530000,2004,66
4,1530,500000,1955,76
3,1970,490000,1929,71
4,2480,480000,2007,50
3,2250,474950,1987,79
3,2330,473975,1999,74
3,2070,469000,1977,69
3,1460,465000,1956,77
2,1430,455000,1925,69
3,2290,450000,1960,78
3,2170,442250,2003,78
3,1260,405000,1979,70
4,2250,398500,2005,53
3,1030,365000,1952,66
4,2710,359000,1962,61
3,1050,350000,1948,52
2,1500,340000,1947,59
3,2235,337000,1975,63
4,2400,335000,1978,67
3,2040,330000,1995,56
3,1340,324950,1974,65
3,960,322000,1961,53
3,1480,315000,1968,62
3,1650,280000,1990,58
3,1560,273500,1962,61
3,1350,270000,1944,77
3,2540,265000,1991,55
2,1650,265000,1942,66
4,1954,235245,2007,74
3,1300,232000,1968,69
3,880,230000,1967,77
4,2130,215000,2004,64
2,670,202000,1942,71
2,1120,188000,1924,62
3,1460,186000,1977,69
2,860,122000,1945,80
2,830,110000,1943,53
4,3860,1760000,1927,75
3,2850,1600000,1978,69
4,3420,1350000,2014,78
3,1560,1100000,1977,75
4,3180,914600,1985,69
5,3490,830000,1996,68
3,2610,810000,1993,51
3,2060,800000,1907,60
4,2830,774000,1998,67
4,2110,725000,1925,76
4,3040,691000,1987,80
2,2300,665000,2006,80
3,2420,649950,1944,61
4,3020,622000,1958,54
4,2300,592000,1979,66
3,3080,585000,2008,50
2,1460,580000,1912,74
4,2590,569888,2014,72
4,5461,545000,1964,63
5,1570,530000,1908,54
4,2410,520000,1974,52
4,1800,515000,2001,55
3,1880,466000,1962,65
2,1160,425000,1942,51
2,1050,400000,2004,60
4,2560,399500,2014,63
4,2820,398000,2005,64
3,1080,392800,1986,64
3,1740,385000,2010,63
4,2570,379000,1994,67
4,1870,375000,1943,59
3,960,374500,1969,59
4,1904,365000,1999,58
4,1450,360000,1962,79
2,1400,358500,2005,52
4,1980,357000,1995,77
3,1680,356000,1964,55
2,1070,350000,1902,73
4,2780,315000,2005,62
4,1730,312000,1962,50
4,1975,311000,1996,64
3,1510,310650,1969,73
3,1770,296500,1987,62
3,1610,292000,2006,60
3,1670,282000,1977,53
3,1410,279900,1990,77
3,1620,276900,1989,60
3,2240,276000,1968,50
4,2120,275000,1998,60
4,2400,275000,1973,54
4,1540,260000,1973,74
3,1240,255000,1986,53
3,1370,238000,1963,59
3,1000,225000,1955,63
3,860,215000,1952,54
3,1030,210000,1967,71
3,1510,196000,1966,74
3,900,179500,1959,56
2,1410,175000,1968,73
2,600,156000,1933,77
4,2420,1490000,1967,78
4,3600,875000,1990,54
5,3320,805000,2000,52
4,3600,682000,1979,76
5,2420,675000,1966,55
3,1470,652000,1948,74
3,1020,625000,1919,52
3,1810,615500,1958,74
2,900,550000,1940,50
3,1430,535000,2007,51
3,1830,532000,1987,62
2,2120,530000,1948,80
4,2190,524000,1981,64
5,2200,495000,1989,74
4,2400,487000,1965,71
3,2650,485000,1975,57
6,2940,480000,1942,79
1,1160,440000,2009,63
2,1010,429000,1924,70
3,2350,410000,2004,51
3,1440,375000,2009,62
2,940,340500,1923,53
5,1830,336800,1958,68
4,2300,332000,2013,56
3,1630,330950,2003,56
3,1230,329000,1980,77
2,1130,322500,1947,54
3,1760,310000,2010,73
3,2340,300000,1978,57
4,2060,286000,1993,78
3,1250,283500,1985,52
3,1510,269950,1993,63
4,2070,262000,2006,53
4,1010,248000,1955,68
4,1220,231000,1940,53
3,1060,206000,1980,52
2,1400,200000,1941,75
3,1140,188000,1964,53
2,720,184500,1940,61
3,970,184000,1968,62
2,1020,168500,1935,78
2,1070,160000,1983,75
2,920,156000,1950,56
5,7880,2420000,1996,56
4,3370,2300000,1962,73
5,7730,1920000,2004,60
4,3830,1700000,2014,79
3,3020,1400000,1954,74
4,2980,1340000,1998,50
3,2440,1290000,1950,79
2,2050,825000,1979,67
4,1900,715000,1966,68
5,2560,667000,1966,73
6,2480,665000,1972,57
3,2070,662500,1906,75
4,2650,615000,1930,69
3,1760,544000,1998,78
3,1530,536000,1983,63
3,1700,502775,1976,61
4,2960,472500,2001,60
3,1840,465000,1994,52
5,1750,465000,1961,50
2,1410,442000,1918,55
3,1670,418000,1958,75
3,1990,359000,1997,55
2,840,350000,1952,76
3,1470,339900,1999,54
3,2140,330000,1957,80
4,1890,330000,1967,78
1,410,325000,1953,61
4,2060,323400,1992,59
3,1570,318000,1959,75
3,1850,257000,1915,61
3,1670,252000,2009,67
4,2130,250000,1962,69
2,710,245000,1942,53
2,690,245000,2005,52
3,940,185900,1909,62
3,2590,690000,1944,72
3,1410,301500,1969,64
2,830,205000,2006,58
5,5370,3000000,1918,55
6,5860,1750000,2013,58
5,4360,1290000,2015,70
4,3180,960000,1986,65
4,5670,935000,2008,64
4,2400,856600,1964,50
4,2130,762000,1939,59
6,2790,700000,1907,52
4,2220,675000,1950,79
