number of bedrooms,living area,Price,Built Year,Distance from the airport
3,2140,616750,1978,55
2,1670,612125,1950,75
5,3440,598992,2014,60
6,3500,592500,1980,59
4,1530,583500,1908,70
4,1680,540400,1974,66
3,2000,519000,1903,64
4,1840,510000,1972,71
3,1690,500000,1973,69
3,1860,495000,2001,60
5,2150,490000,1938,72
4,1960,474000,1976,71
3,1380,455000,1986,70
4,2930,442515,2014,51
3,1190,442000,1941,59
3,1830,431000,1979,52
2,1000,424950,2005,74
4,1920,399950,1906,73
3,1510,397500,1961,60
2,1131,394950,2011,56
3,1260,375000,1943,62
3,1200,361000,1975,75
4,2580,360000,1999,56
3,1790,359950,1998,57
2,720,338500,1951,77
3,1790,336000,1988,52
3,2260,335000,1990,59
3,1840,334000,1989,52
4,2010,310000,1951,79
2,1160,299000,1983,68
3,2030,287500,1986,79
3,1500,279000,1979,80
3,1690,277500,2003,50
3,2555,255000,2006,54
3,1440,253000,1965,57
3,1510,240000,1969,57
3,1510,225900,1963,55
2,2010,218000,1952,72
3,920,209000,1969,78
5,5620,1570000,1999,75
5,4010,1150000,2015,61
4,3260,1050000,2007,76
3,2750,895000,1967,61
4,3360,845000,1994,61
4,2620,804000,2005,69
3,1270,765000,1956,64
5,3490,759000,2005,59
3,2850,700000,1987,62
2,1990,690000,2005,75
4,2700,680000,1978,79
5,3370,600000,1998,64
4,2210,587000,1999,78
3,1760,575000,1957,63
4,2810,535000,1985,57
3,1460,527200,1929,64
4,3100,511000,2005,54
3,1530,467000,1995,64
3,1590,463000,1985,64
3,2290,455500,1973,69
4,1960,450000,1900,59
3,2160,440000,1994,73
4,2010,427500,2000,76
3,2650,425000,1967,50
3,2180,415000,1979,66
3,1420,408000,1950,55
4,2170,377000,1992,74
4,2090,375000,1983,64
2,1770,369900,2007,64
2,930,368000,2002,78
2,1270,348000,2008,75
3,2470,338000,2003,55
3,1510,335000,1948,68
4,2820,321027,1966,60
3,1358,311600,2007,58
4,2400,299000,2001,68
3,1440,292500,2006,62
2,1620,290000,1926,54
4,1961,289000,2006,54
2,800,280000,2003,56
4,1440,269950,1964,72
2,770,257000,1947,57
3,1470,212000,1990,53
3,1020,208000,1967,63
3,1200,205000,1959,64
2,710,153000,1943,65
3,3420,2250000,1951,61
4,3780,1600000,1910,56
4,1330,1050000,1952,67
6,4440,959000,1959,51
4,2927,715000,1998,58
4,3220,710000,1991,64
3,1710,675000,1941,75
3,3420,657044,2014,61
3,1800,610000,1947,70
2,1140,582500,1966,80
3,1640,580000,1987,56
2,1270,550000,1908,55
2,1930,548050,2005,60
5,2270,526750,1963,50
3,1950,510000,1969,72
3,1400,507250,1915,59
3,1950,485000,1967,70
4,2340,476000,1956,54
4,2170,467000,2012,62
3,1560,450000,1972,61
3,1610,450000,1996,71
4,2210,445500,1953,70
2,1050,439000,1949,73
3,2150,437400,1960,64
4,1700,429950,1959,58
4,2480,424950,1992,57
3,2150,419950,1949,56
3,1450,419900,1955,80
4,2420,399950,1984,57
3,1280,395000,1982,67
4,2750,395000,2012,62
3,1060,370000,1906,54
3,2230,368750,2004,66
6,2850,360000,1962,60
4,2500,350000,1979,56
3,2000,334000,1985,74
4,2160,317000,1988,56
5,2500,305000,1962,50
3,1280,300000,1977,54
3,1500,294900,1968,79
2,1360,279900,1957,71
5,2320,260000,1967,64
3,1290,256000,1948,75
3,1660,254000,1988,65
3,1370,252000,1997,62
3,2350,245000,1964,55
3,1780,245000,1985,73
3,880,241000,1945,52
2,870,240000,1947,55
2,890,230000,1934,76
3,1020,225000,1987,65
4,1470,215000,1967,68
3,1090,140000,1959,66
5,2560,1180000,1923,76
4,4160,1150000,1991,76
4,4020,818000,1987,57
4,3250,800000,2007,72
3,1120,750000,1952,68
3,2530,717500,1995,54
2,1390,686500,1928,76
3,2140,666000,2007,54
4,3220,640000,2013,74
3,2350,613500,1989,68
3,2605,599900,2003,55
2,1980,585000,1981,80
4,2360,577000,1979,73
2,1670,539950,2007,74
3,2490,535000,1906,73
2,1060,515000,1906,62
3,3190,495500,2006,76
3,1800,493500,1972,70
2,1480,490000,1940,60
3,2090,485000,1978,57
4,2220,464000,1978,73
5,1720,449000,1956,74
4,1970,442500,1960,65
3,1120,442500,1938,79
4,2100,426500,1990,53
3,1010,425000,1915,79
5,2880,419900,2012,79
3,1050,414500,1941,79
3,1910,390000,1997,60
3,1470,385000,1950,59
4,2790,378000,2004,69
3,1680,370000,1987,54
2,1340,360000,2009,80
5,2790,359900,1965,79
2,1240,352900,2002,71
3,1360,345000,1960,56
4,2280,345000,1983,71
4,2080,329800,1996,80
3,1950,313200,2013,61
3,1560,299900,1985,74
2,1140,276000,1923,77
4,1800,271000,1977,57
3,1630,240000,1977,59
3,1460,240000,1968,75
3,1690,240000,1913,66
2,1068,239950,1990,54
2,830,222000,1950,61
3,1020,219950,1926,54
3,1060,215000,1961,62
2,930,160000,1933,56
3,5120,1550000,2008,77
3,2480,1470000,1940,63
3,3870,900000,1991,64
3,2160,856000,2014,74
3,2170,848000,1930,73
3,2690,829000,2007,80
6,1430,800000,1954,71
4,4940,800000,1953,58
4,2540,750000,1997,67
2,1960,680200,1951,51
3,1680,637500,1966,76
5,4150,635000,2006,73
3,1460,629000,1970,79
5,2540,620000,1962,52
5,3040,605000,2011,76
3,1510,599950,2014,78
5,4020,590000,1970,56
4,1950,565000,1963,79
4,1580,557510,1912,77
4,2920,555000,1997,54
3,1500,530000,1927,71
3,1890,510000,1993,73
4,2160,499950,1965,80
3,1780,475000,1977,74
4,2320,475000,2006,70
4,1340,474905,1959,52
4,1650,470000,1977,59
5,1870,455000,1969,67
2,940,443500,1949,79
3,2840,440000,1950,69
3,1420,425000,2009,55
4,1640,414250,1977,80
4,1510,410000,1901,71
4,1790,393000,1974,80
3,1010,390000,1982,67
4,2040,366400,1977,78
2,770,365000,1929,73
3,1950,360000,1957,57
4,2270,311750,1976,59
3,1560,303000,1985,62
2,810,299900,1950,74
4,1800,295000,1975,67
4,1590,293467,2008,58
4,1560,262000,1997,66
3,1270,259000,1922,64
3,1340,225000,1903,51
3,660,225000,1940,69
3,1300,219950,1971,63
3,920,203000,1970,77
3,1340,176000,1986,62
3,1030,175000,1960,71
3,1440,380000,2008,76
4,2019,293000,2008,57
3,1810,270000,1981,54
3,3110,2260000,2003,76
4,7220,1940000,2000,65
3,3910,1700000,1933,62
4,2780,1650000,1951,77
3,3040,1600000,1980,54
4,3080,1170000,1968,52
3,2830,1090000,1915,50
3,2650,1050000,1984,51
3,3640,925000,1979,74
3,2440,925000,1961,64
4,3080,866500,2014,51
3,2720,835000,1988,74
4,2370,834000,1928,64
4,2950,825750,2012,77
4,3130,762500,1986,73
5,2210,648000,1964,73
4,2190,637000,1929,50
4,2500,635000,2014,56
3,1270,599380,1967,60
4,2170,565000,1961,59
3,2380,565000,1977,75
2,1170,530000,2010,74
3,1370,500000,1905,78
4,2720,485000,1977,52
3,2490,475000,1972,65
4,1470,465000,1963,62
2,1530,450000,2005,70
4,1500,432500,1901,50
2,1090,417000,1915,71
1,1080,411000,1948,74
3,1670,405000,1980,70
4,1560,400000,1964,55
3,1200,390000,1955,50
4,2130,380000,2014,73
3,2240,375000,1954,65
3,2370,366000,2006,69
3,1490,348000,2009,74
3,1340,340000,1987,76
3,1410,315000,1980,55
3,1530,315000,1980,72
3,1320,305000,2005,58
3,1730,297262,1994,73
3,1560,275000,2002,72
3,2710,275000,2003,59
2,820,265000,1957,73
3,1660,265000,1988,75
3,1700,262000,1962,76
4,1810,260000,1977,52
4,1810,259000,1960,67
3,1430,220000,1991,60
2,710,216000,1918,51
3,1610,215000,1976,56
3,1580,214000,1942,64
3,1300,208000,1960,80
2,780,146000,1937,59
3,1110,130000,1960,63
4,5850,1530000,1990,68
5,3400,1280000,1977,77
3,4530,1120000,1912,76
3,4020,1080000,1999,69
4,3250,1050000,1985,52
3,1220,940000,1955,63
4,3090,940000,1967,63
4,3700,898000,1992,77
4,3790,875000,2010,54
3,3090,822500,1999,66
4,2250,735000,1963,58
3,1770,671500,2012,55
3,2050,645000,1910,57
3,2570,634000,1962,68
4,2630,631000,1963,59
3,2010,620000,1979,56
3,1790,615000,1904,61
3,1110,610000,1967,66
4,1490,604000,1960,50
4,2430,602000,1963,75
4,2950,600000,2007,78
3,2970,599000,1967,71
3,1910,595000,1941,61
5,4300,593500,1972,67
3,2700,565000,2004,64
4,1700,545000,1926,53
3,1580,542300,2013,55
3,1860,539950,2014,64
4,1570,535000,1928,72
3,1626,526000,2007,57
4,2303,525000,1995,70
3,2320,525000,1990,72
3,1520,495000,1948,59
3,1340,466200,1959,70
3,1530,448000,2003,71
2,760,447000,1920,80
4,2210,435000,1978,78
4,1990,430000,1926,74
3,1120,425000,2008,58
4,2610,372000,1990,77
3,2510,353000,2001,61
3,1860,345000,1975,77
2,790,342888,1948,74
3,1920,340000,2007,78
4,2900,339000,2001,71
3,2420,325000,1977,53
3,1690,318000,1982,59
2,1210,305000,1921,68
3,1670,280000,1963,63
3,1220,280000,1984,71
4,2440,278800,1965,55
4,1960,277000,2001,59
4,2170,250000,1920,51
4,1200,173000,1957,77
4,3900,1650000,1972,63
3,1910,1500000,1955,70
5,2710,1190000,1959,77
4,4420,909500,2006,71
6,2620,900000,1957,52
5,3700,889950,2014,67
4,3010,822600,1979,52
4,3300,785000,1984,63
5,3050,760000,1931,51
3,3560,756000,1948,68
4,2790,723000,1977,68
4,2010,660000,1957,75
2,1640,640500,1939,72
5,2760,600000,1958,59
6,4470,598800,2013,61
4,2090,550000,1990,70
3,2800,550000,2001,59
2,1560,549010,1942,76
2,1200,546000,1948,52
4,2980,480000,2011,59
3,1570,476000,1980,67
4,2150,468000,1957,71
4,3040,454000,2000,63
3,1220,447000,1965,76
4,2680,419625,1988,59
3,1920,417000,1980,52
3,1710,411753,2009,74
4,2190,391000,2006,66
3,1520,386500,1972,61
5,2280,383000,1951,50
3,1400,380000,1948,66
1,890,362000,1996,80
3,1650,355000,1955,55
3,1930,345000,1951,71
3,3180,340000,1969,71
3,2329,327555,2010,71
3,1320,325000,1983,72
3,1190,319500,1961,57
2,860,316000,1906,51
3,1580,315000,1974,62
4,1660,300000,2011,71
4,1900,299950,2003,54
4,1130,293000,1944,55
3,1440,287450,2008,51
3,1450,275000,2010,66
3,1690,267000,1989,56
3,1260,259000,2012,58
3,1330,257000,1989,62
3,1120,249950,1976,79
4,2120,249500,1977,76
3,1370,246900,1968,64
4,1720,235000,1956,58
3,1500,230000,1984,76
3,1230,220000,1966,80
3,1750,199000,1993,74
2,700,190000,1951,56
3,1380,189000,1915,74
3,1200,186000,1969,60
4,1800,160000,1962,72
3,1270,140000,1981,67
2,1060,111300,1908,76
5,4150,3070000,1909,61
5,4660,2640000,2005,69
4,4210,1910000,2001,74
4,4410,1630000,2003,56
4,2530,1120000,2013,52
4,3550,880000,2007,75
3,1860,860000,1951,75
3,3500,797000,2008,76
4,2520,770000,1953,64
3,1910,746000,1952,60
2,2170,695000,2013,71
3,2110,677100,1993,59
3,2470,660000,1976,70
3,2410,614905,1991,51
3,1460,601500,1968,80
3,2490,572500,1991,80
3,1400,570000,2004,50
2,1140,570000,2014,62
3,1260,565000,1928,70
3,2280,557000,1995,64
4,1540,542000,1922,62
2,1340,520000,1939,54
4,3170,505000,2000,64
5,2300,500000,1956,56
4,2460,452500,2006,59
4,1690,420000,1960,51
5,2910,410000,1967,59
2,1120,380950,2007,67
3,1824,375900,2010,60
3,2740,363000,1990,64
4,2180,363000,2004,66
3,2390,363000,1995,80
3,1010,356999,1971,73
4,2390,339000,1920,54
2,1120,325000,1954,71
4,1210,315000,1941,63
3,1450,309000,1990,76
2,1010,302000,1944,74
3,2360,290000,1991,57
3,1250,275000,1942,59
4,1860,265000,1963,53
3,1200,250000,1955,72
2,1040,225000,1947,69
4,1920,200000,1914,76
2,1122,185000,1960,52
3,900,178500,1961,53
5,1680,175000,1979,60
3,1420,147200,1954,73
3,3330,1960000,1960,76
5,4420,1320000,1982,50
5,5040,1280000,2004,67
4,3970,949990,2014,55
3,3840,868700,2000,74
6,3970,810000,1970,65
4,1950,802500,1957,67
2,2160,798750,2005,79
3,2090,725000,1983,61
3,2230,722000,2014,67
3,2330,710000,1997,55
3,3290,685000,1992,64
4,3290,680000,2005,65
3,1970,678700,1973,77
4,1670,661000,1973,64
3,1770,660000,1952,80
4,2570,655000,1984,69
3,1480,641000,1952,51
3,2700,625000,1948,50
6,2040,610000,1961,80
4,2460,607500,1969,51
4,2110,607500,1978,64
4,3280,605000,1976,80
2,1370,600000,1905,51
4,2050,584999,1967,78
3,2220,576750,1966,53
3,1730,575700,1941,70
2,1500,570000,1926,67
4,1380,560000,1906,73
3,1010,550000,1940,67
4,2880,536000,2006,79
5,2430,502500,2007,52
3,1700,467500,1918,51
4,1790,455000,1976,60
4,2520,435000,1955,64
5,2060,432000,1989,63
4,1950,428000,1966,66
5,2110,425000,1947,79
3,1110,411500,1980,61
2,1410,400000,2008,80
3,1320,390000,1978,62
2,870,387500,1938,54
3,2210,383150,2003,68
5,2550,369000,1959,69
3,970,360500,1974,61
4,1840,360000,1996,70
4,2580,355000,1992,80
4,2181,340000,2006,59
2,1470,338000,1919,76
4,2230,334950,1999,79
5,2230,334950,2014,73
1,670,334000,1942,66
3,1200,329000,1928,53
5,2240,328000,1990,64
3,1240,318000,2009,52
3,2070,312000,1917,73
4,1940,311500,1992,79
4,2000,310597,1958,67
4,1950,310000,1986,61
3,1430,305000,1957,60
3,1110,279000,1949,62
3,2190,269100,1995,79
3,1122,265000,1900,69
3,1020,241000,1981,67
4,1220,240000,1969,57
4,1450,205000,1967,63
3,1270,196900,1954,71
3,1180,190000,1966,52
3,1530,147500,1959,69
3,3400,815000,2001,53
3,1930,605000,1978,75
2,1130,325000,1955,69
4,1370,219000,1948,76
4,2510,750000,1977,70
3,1060,555750,1913,51
2,1190,550700,2004,55
5,3400,510000,2005,67
2,830,425000,2005,68
4,1790,199900,1944,71
4,3890,1600000,2005,58
4,3350,1200000,1995,60
3,2800,915000,1957,63
3,1480,856000,1928,70
3,3120,850000,1983,76
4,3280,810000,1985,74
3,2280,749700,1977,75
3,1920,725000,1913,66
4,2440,675000,1969,74
3,2900,630000,1987,77
3,2240,600000,1984,58
4,2530,590000,1977,67
3,2180,590000,1949,68
3,1750,585000,2008,65
3,2660,579000,1962,56
2,1380,570500,1954,54
2,1720,565000,1925,69
3,1600,562000,1962,79
2,1370,547000,1922,52
4,2190,540000,2010,70
3,2130,539000,2010,56
2,820,532500,1924,52
5,3230,530000,1965,69
2,970,515000,1916,52
3,1780,500000,1979,54
3,2620,470000,1999,69
5,2940,464500,1955,71
5,2880,439000,1991,80
4,1700,437000,1954,58
4,1960,435000,1963,68
4,1820,429900,1962,52
3,2230,428000,1977,70
5,2840,425000,1962,67
4,3362,410500,2004,69
2,1560,410000,1954,67
3,1140,407000,1954,74
3,1330,405000,1966,51
3,1840,403000,1980,50
4,1970,400000,1973,57
3,1180,400000,1969,55
3,1630,398500,1996,65
3,1000,396480,1959,60
2,1140,355000,1988,61
3,1050,350000,1955,60
3,1400,348125,1953,65
5,3150,345000,1966,73
3,2240,340000,2003,54
3,990,335000,1970,77
4,2290,325500,1969,76
4,1960,325000,1954,77
2,1070,325000,1942,78
3,1590,323000,1912,62
3,1220,319000,1986,64
3,1890,315000,1978,61
3,1240,290000,1954,58
3,1660,279950,1974,62
2,1060,279475,1968,68
2,840,275000,1942,54
3,1910,260000,1954,55
1,710,257500,1916,62
3,1628,250000,1996,71
3,1000,230000,1915,78
3,1820,227490,1967,74
4,1910,220000,1986,80
2,1140,199000,1932,50
2,1210,156601,1984,79
2,1090,149900,1982,60
3,1300,137000,1959,50
4,4070,2300000,2004,63
3,5403,2130000,1976,71
4,3070,1900000,2009,58
3,3910,1480000,1949,60
4,2860,1200000,1982,78
4,3930,1090000,1987,61
4,2910,945000,1937,64
4,3560,896000,1992,51
3,2850,799990,1994,56
4,3440,781500,2001,52
3,2050,770000,1930,74
4,3276,720000,2008,66
4,2870,700000,1959,66
4,2290,685000,1900,57
3,2580,665000,1925,64
3,1740,640000,1998,68
4,2270,624900,1967,64
2,1510,622500,2013,68
3,1440,604000,1957,73
3,2000,593700,1979,54
5,3480,590000,2012,59
2,1650,580000,1943,52
2,1400,575000,1940,52
4,3330,555000,1994,59
3,1760,554000,1931,67
4,3350,550000,1990,52
4,3140,529888,2003,69
3,1680,510000,1987,59
3,2100,509250,1980,75
3,1570,495000,1940,58
3,2410,490000,1989,78
3,3080,489000,2006,67
3,1920,475000,1986,67
2,920,475000,1909,56
4,2320,470000,1975,78
4,2170,460500,1991,52
2,1120,450000,1924,64
4,3060,446500,1974,70
3,1760,444950,1962,78
3,1830,440000,1954,63
3,1790,437500,1976,57
3,2040,435000,1954,59
3,1810,431000,1954,69
4,1300,428000,1958,56
3,1180,425000,1951,70
3,1960,422500,1977,61
3,1790,415000,1976,64
4,2550,406250,1990,51
3,1650,400000,2009,73
3,1430,394900,1962,62
4,2320,380000,1994,71
4,2020,370000,1946,52
3,1110,365000,2008,77
3,1610,358000,1985,77
5,3120,341500,1980,64
4,1100,330000,1904,66
3,1300,325000,1977,61
3,2260,325000,2004,58
2,1040,325000,1921,62
2,1643,324950,1954,77
2,1090,310000,2004,53
3,1480,300000,1979,78
3,1500,295000,1994,71
3,1550,290000,1983,66
3,2200,290000,2003,52
4,1600,286000,1902,67
4,1900,285000,1988,52
4,1800,285000,1994,67
3,1620,280500,1990,77
2,1190,277500,2005,67
4,2350,270000,2003,53
2,620,265000,1941,55
2,920,265000,1995,53
3,1360,260000,1987,77
3,1180,249500,1968,57
2,1020,245000,1933,73
4,1450,234950,1967,60
3,1680,227000,1968,68
3,2170,225000,1967,59
3,1580,221347,1944,76
2,2060,213500,1930,75
3,1040,204000,1971,74
2,1160,175000,1947,67
2,790,169317,1908,69
3,1810,162000,1978,73
3,1210,132825,1969,67
5,2870,1160000,1966,79
3,2100,990400,2008,69
4,1220,935000,1903,77
5,7120,900000,2007,74
3,2160,895000,1991,61
4,3060,877500,1922,73
5,3620,858000,1964,66
4,3080,841000,1981,71
4,1780,800500,1962,78
4,4270,770000,2001,54
4,3090,760000,1992,51
6,2880,751000,1980,64
4,2820,750000,1974,57
6,3830,710000,1995,54
3,2400,705640,1968,66
4,2230,700000,1908,72
3,1640,700000,1951,62
4,2440,689000,1961,65
3,1800,655000,1952,59
3,2120,650000,1940,54
4,2910,645000,2012,66
3,1720,638000,2004,67
4,2000,630000,1925,68
4,3120,615000,1997,66
4,2590,570000,2003,51
4,3270,560000,1979,80
3,1230,550000,2013,67
2,1780,535000,1976,59
3,1930,531800,2004,74
3,2160,530000,1992,63
3,1500,529000,1974,62
2,1210,529000,1950,70
4,2430,518000,1978,55
3,2410,485000,1995,78
3,1310,475000,2008,65
3,1690,461000,2002,67
3,940,435000,1959,71
5,1720,435000,1967,67
3,2120,425000,1947,76
4,2930,420000,1977,68
2,1000,417200,1910,52
6,2500,415000,1966,76
5,2670,410000,1980,80
3,1070,386950,2009,56
3,1560,385000,1944,60
3,1230,383610,1989,59
2,710,375000,1925,58
8,2850,373000,1959,56
3,2400,357000,1971,65
5,1790,346000,1964,77
3,1840,340000,1953,64
3,1333,338500,2009,79
4,2180,330000,1972,52
3,1690,330000,1955,61
3,3360,329999,1988,73
3,1300,325000,1950,53
3,1780,315000,1980,69
3,1350,299000,2010,52
4,1890,298500,2004,62
3,1180,289900,1944,57
2,1340,269950,1949,62
4,1530,260000,2010,76
2,750,258000,1945,79
3,1490,256400,1963,77
2,850,250000,1951,78
2,1220,245000,1942,58
4,2050,245000,1977,63
3,1330,245000,1968,58
3,1650,241000,1990,65
3,1050,208000,1948,51
3,860,189000,1969,53
3,1370,170000,1947,67
1,470,156000,1947,66
2,600,110000,1943,77
1,570,89950,1942,60
6,2980,1310000,1911,59
3,1990,1080000,2012,62
4,3080,1050000,1961,52
5,3760,998000,1969,74
4,3290,965000,1906,56
3,2750,819000,2000,60
4,1990,745000,1972,50
3,2360,709000,1951,78
4,3090,708000,2005,76
4,2040,705000,1937,57
3,2230,700000,2014,76
4,2710,690000,2007,64
4,1900,650000,1954,65
3,1780,643000,1954,66
4,2755,625250,2003,70
2,1210,610000,2014,64
4,2990,590000,1948,73
4,2280,575000,1966,62
4,2070,565000,1940,79
3,1110,550000,1904,68
3,1950,540000,1978,77
4,2370,522500,1977,57
4,3060,520000,2005,59
4,1540,519500,1964,72
3,1130,460000,1944,59
4,2190,450000,1964,63
2,1330,440000,1985,66
2,1440,439950,2010,59
4,1570,430000,1975,67
4,2880,429900,2014,61
4,2290,425000,1947,69
3,1360,415000,1971,75
3,2280,413000,1977,72
4,2000,380000,2003,54
4,2820,369900,1984,60
3,1108,369500,2009,61
4,1760,365000,1966,68
3,2730,350000,1998,76
2,1240,331000,2008,58
4,1620,327000,1980,67
3,2120,325000,1973,68
4,1770,324950,2004,70
3,1100,306500,1965,57
4,2430,305000,1990,74
5,2360,302000,1926,76
4,2200,300000,1978,55
3,1730,300000,1976,64
4,1260,295000,1947,77
4,1660,290000,1968,50
3,960,290000,1968,62
3,2120,289500,2002,61
2,1010,286000,2007,78
2,790,285000,1956,60
4,1540,278500,1971,62
5,2140,270000,1967,63
3,1450,265000,1991,67
3,1489,260000,2011,77
4,2060,257500,1977,50
3,1340,255000,1975,61
3,1150,252000,1956,64
3,1180,248000,1968,74
3,1630,246000,1976,80
3,1830,236775,1987,73
3,1480,234000,1968,75
3,1900,230000,1967,56
3,1460,220000,1993,63
2,900,210000,1930,79
3,1250,205000,2008,74
4,1280,199000,1960,78
3,1260,195000,1959,59
3,1510,190000,1946,70
3,850,132500,1945,69
5,3300,1510000,1957,51
3,2050,761000,2006,74
3,1430,465000,1984,63
5,4820,1060000,1990,58
4,2880,635000,2014,51
4,1650,490000,1947,72
2,1760,490000,1951,62
2,1490,467500,1918,80
4,2610,390000,2011,80
4,3181,379900,2014,60
3,1310,365000,2007,69
4,2420,279950,1914,79
2,1320,269950,1968,63
3,1420,269000,1984,80
3,1630,264500,1990,76
3,1400,232000,1976,61
4,3560,1360000,2001,73
3,3180,1330000,2008,70
3,2240,1270000,1941,52
4,3840,829900,2001,53
4,2040,775000,1924,55
3,3270,765000,1992,69
5,3920,710000,2007,65
5,3250,705000,2010,51
5,2870,690700,2005,68
4,2260,685000,1978,60
4,2440,649950,2005,70
4,2120,637000,1983,50
3,1340,635000,1900,55
3,2290,635000,2014,60
3,2250,615000,1987,55
3,1120,615000,1977,64
4,2760,614000,1940,59
3,3200,605000,1965,75
4,3040,598780,1963,77
3,1520,575000,1945,60
5,2990,559950,2014,65
3,2220,542000,1985,65
3,2050,535500,1994,78
3,1660,529941,1961,64
3,1590,489950,2014,75
3,1570,485000,1984,75
3,1260,485000,1907,72
3,2300,482000,1984,56
3,1270,461000,2007,54
3,1250,458500,1964,78
3,1250,455000,1965,69
3,1850,440250,1948,64
3,1480,436000,2008,57
4,1850,430000,1991,55
3,1360,425000,1955,60
5,2150,420000,2003,70
2,700,400000,1927,71
3,1100,400000,1900,72
4,2310,400000,2014,59
3,1780,399000,1977,66
4,2480,399000,2012,78
3,1500,392000,1970,73
3,1650,390000,1910,50
1,710,390000,1928,78
4,2560,379500,2013,78
4,1620,365000,1980,50
5,2680,359999,1995,62
3,1540,357500,1966,67
3,1080,350000,1916,78
3,2250,342000,1992,70
2,1700,340000,1956,52
3,3040,340000,1999,65
3,2400,335750,1955,78
4,2190,335000,1996,79
3,1150,335000,2013,74
3,1390,328500,2004,54
4,2460,325000,1969,79
3,1570,325000,2001,51
3,1190,322500,1996,59
1,1780,316000,2001,59
3,1520,314950,1967,78
4,1390,302059,2008,59
3,2850,300000,1977,53
3,1350,299999,2007,50
3,1990,293000,1990,78
3,1290,275000,1979,55
5,1580,265000,1913,57
3,1150,260000,1910,55
4,1250,255000,1955,66
3,1310,241500,1995,53
4,1880,212000,1946,58
3,4110,1450000,2000,51
2,2620,1360000,1931,69
4,4270,1100000,1993,80
4,2730,1030000,1948,76
4,4740,970000,1987,71
3,3270,875000,1988,73
4,2180,875000,1966,57
3,2720,873000,1997,50
4,2020,868000,1943,69
3,3070,850000,1928,68
2,1800,850000,1962,52
5,3410,815000,1974,78
5,3190,780000,2013,67
3,1370,720000,2014,56
4,2930,718000,1939,77
3,2780,709000,1913,77
4,3280,671300,2004,78
4,2950,630000,1975,66
3,1590,609500,2014,65
3,1480,598950,2014,55
3,1730,596000,2001,52
3,920,589000,1904,69
3,1910,588000,1951,67
3,3530,583500,1985,80
4,2190,565000,1935,64
4,2040,545000,1959,54
3,1670,540000,2002,68
2,1170,540000,1903,80
4,2200,522500,1971,74
3,1430,517500,1940,64
3,3020,515000,2003,54
3,2210,500000,1972,64
3,2580,499950,2001,61
3,1780,499000,2004,75
3,2080,490000,1978,68
2,940,473000,1942,53
6,2490,470000,1966,79
3,1210,450000,1928,65
2,960,450000,2008,50
2,720,447000,1925,76
3,1750,437000,1994,50
3,1450,435500,1985,75
2,1840,430000,1952,51
3,2670,430000,2010,77
3,3440,430000,1974,58
3,2080,420000,1963,69
4,1700,420000,1950,54
3,2260,418200,1992,66
5,2060,417500,1954,75
4,2210,415000,1975,71
3,2620,408000,1991,50
3,1970,406500,1966,57
3,1440,405000,2005,58
2,1030,397000,1942,70
3,1500,396000,1967,69
3,1390,396000,1949,75
3,1730,394999,1958,68
3,1550,386000,1980,60
5,1680,380000,1906,60
3,2190,375000,1989,74
2,1390,370000,2007,64
3,1480,369300,1967,61
2,870,365000,1948,72
3,1650,350000,1988,56
