number of bedrooms,living area,Price,Built Year,Distance from the airport
3,1540,350000,1950,55
3,1430,345000,1908,60
4,1520,330000,1968,69
3,1950,323000,1989,63
3,1190,320000,1929,77
3,1610,319502,1990,61
4,2280,312500,1957,55
2,770,310000,1948,54
4,1870,293000,2009,70
3,1880,290000,1980,64
2,890,285000,1943,70
3,1540,284200,1959,57
2,1770,279000,2003,56
3,1952,270500,1960,66
4,1730,270000,1961,67
3,1530,269000,1986,70
3,1680,265000,1989,53
3,1690,265000,1997,73
3,1600,260000,2005,66
3,2160,260000,1981,67
2,750,258305,1919,77
3,1500,255000,1943,68
3,1310,255000,1994,63
4,1750,240000,1944,73
4,1220,230000,1970,58
3,1030,229950,1944,72
2,1180,209900,2005,75
3,1690,199500,1986,74
4,1360,197000,1961,58
2,1390,191950,1987,68
5,1990,178000,1960,78
3,1290,163000,1996,74
4,1410,139000,1966,69
3,1080,115000,1981,63
6,5550,2350000,2014,56
4,4500,1980000,1990,53
5,4360,1790000,2014,57
5,4070,1450000,2014,59
3,2960,1330000,1953,78
3,2350,1300000,1976,75
4,3090,1110000,1956,52
4,2480,906000,1951,50
4,3640,895900,2014,62
4,2550,855000,1908,77
4,3390,835000,1987,54
3,2410,822000,1985,69
4,2700,810000,2006,72
3,1690,780000,1978,52
4,2310,760500,1977,71
6,3360,735000,1962,53
3,1880,735000,1978,76
4,2980,728935,1993,77
3,1140,704000,1926,54
4,1470,700000,1918,56
4,2550,675000,1997,77
3,2460,665000,2014,57
6,1530,642000,1921,71
2,1760,605000,1927,64
5,2980,595000,1940,60
3,2250,595000,2003,69
4,2110,580000,1977,55
3,1580,575000,1911,56
2,1320,575000,1928,71
3,1850,572000,1908,64
3,3210,565000,1998,56
3,1490,565000,1954,70
3,2510,562000,1925,72
3,2507,551870,2006,76
3,1260,550000,1951,71
4,1880,545000,2007,62
4,2340,539000,1993,51
5,2590,539000,1973,58
4,2590,533000,2003,67
2,900,529500,1944,53
4,2740,525000,1992,78
3,2700,524950,1977,72
4,2400,500012,1962,77
3,1440,500000,1974,62
4,2310,495000,1997,75
3,1250,491000,2000,68
3,1670,484950,1987,53
4,2240,482000,1979,53
3,2950,482000,2003,79
4,2270,479000,1940,56
5,3100,460000,1963,58
5,1510,455000,1983,58
3,1010,450000,1905,63
3,1340,450000,1972,69
2,1020,450000,2008,59
5,3880,445000,2004,50
2,1090,440000,1948,69
3,1720,439950,1950,57
4,1520,425500,1967,52
4,2689,425000,2006,66
3,1410,399500,1967,65
4,1040,396000,1944,51
3,2030,389000,1961,66
3,1900,380500,1994,78
4,2612,379950,2014,54
4,2320,370000,1994,70
3,1830,350000,1946,71
3,1720,340000,1958,52
2,690,340000,1918,69
4,2300,329950,2006,53
4,1640,325000,1928,67
3,2130,325000,1989,65
3,1380,322000,1944,74
2,1240,319950,1921,67
4,2730,319500,2006,57
3,1250,305000,1967,70
6,2650,302000,1911,63
4,2410,299800,2002,72
3,2000,286300,1964,56
4,1970,285000,1979,51
4,2130,285000,1967,51
5,1820,275000,1979,50
5,1950,274000,1962,67
3,1560,273000,1955,51
1,520,262000,1920,58
3,1300,250000,1968,76
3,1520,249000,1985,55
3,1300,235000,1963,77
3,1520,235000,1971,67
3,1040,200000,1961,72
4,1780,200000,1900,56
2,1180,195000,2005,64
3,840,185000,1959,63
2,770,180000,1933,75
3,1090,180000,1929,55
5,3940,1970000,1951,54
5,2450,1550000,1963,56
3,2100,999999,2008,64
4,3510,970000,1976,62
3,2030,910000,2007,64
3,1950,899000,1996,75
2,1150,830000,1921,68
5,3030,794500,1913,64
5,2690,690000,1919,63
4,2080,635000,1954,71
3,2900,616000,1959,60
3,2660,615000,1951,77
3,1780,615000,1927,57
4,2500,587500,1956,54
3,1560,566000,1999,69
3,1010,525000,1902,52
4,1180,517000,1950,58
3,2730,510000,2012,77
5,3600,484000,1976,80
5,1900,470000,1920,58
3,1770,464000,1992,63
3,2130,454900,1973,50
3,1760,440000,1976,66
3,1690,430000,2004,63
2,1260,401000,1983,73
3,1410,400000,1983,52
4,2360,392000,1983,62
4,2420,380000,2009,54
3,1420,364000,1987,55
3,1120,360000,1966,62
3,2480,350000,1969,77
2,720,350000,1950,61
5,2230,347500,2014,60
4,2260,341780,2014,55
5,2620,330000,1979,64
3,1510,322000,1979,53
5,2970,320000,1979,80
3,2100,317000,1990,63
5,2900,310000,1969,59
4,2520,303697,1955,50
3,1800,286000,2006,61
3,2150,284000,1968,56
3,1750,279000,1962,57
3,1060,275500,1981,78
3,1470,269000,1985,63
3,1860,267500,1976,64
4,2000,267000,1963,73
3,2740,259000,1964,56
4,1380,253750,1939,55
3,1200,251000,1949,77
3,1480,250000,1958,55
3,1481,250000,2012,52
3,1080,228500,1942,57
3,1940,219000,1979,68
3,1470,215000,1986,69
3,1040,190000,1943,51
3,1390,190000,1965,63
2,720,181000,1954,62
3,880,160000,1966,79
3,1200,153000,1962,57
4,3790,1870000,2006,51
4,2860,1450000,2013,60
3,2910,1400000,1989,61
4,4150,988990,2014,77
3,2460,930000,1925,71
4,3530,908990,2014,52
3,3310,780000,2005,74
4,3370,720000,1977,80
4,2630,715000,2014,66
4,2270,643000,1988,50
3,2200,637000,1986,72
3,1210,635000,1930,74
4,1760,620047,1946,73
4,2550,612500,1992,57
2,2320,600000,1976,61
3,1930,550000,2014,63
4,2030,500000,1961,55
4,1970,499000,1999,71
2,1020,450000,1906,50
3,2380,445000,2008,58
2,990,435000,1947,51
3,1970,429800,1986,50
3,1940,425590,2008,63
2,1300,425000,1955,73
3,1445,415000,2004,78
3,1502,403000,2005,60
3,1460,400000,2002,63
2,980,395000,1907,73
2,1300,394950,2011,51
2,1840,375000,1955,57
4,2730,374950,2005,53
3,2529,370950,2012,65
3,1820,369000,1969,61
4,1820,367000,1947,61
4,1230,340000,1963,77
5,1720,339000,1970,67
3,1140,330000,1959,58
2,1230,325000,2008,60
3,1500,315000,1967,52
3,1140,309000,1962,56
4,1400,295000,1961,53
4,1440,275000,1943,51
3,1240,248500,1939,59
2,770,217000,1942,50
3,1180,207000,1958,52
3,1330,205500,1986,75
3,1460,204000,1980,61
3,1010,200000,1984,77
2,860,170000,1931,66
3,1240,140000,1954,74
4,3430,997000,2001,63
3,1810,579950,2014,80
2,1010,550700,1908,73
4,1252,352000,1996,73
3,1840,285000,1983,78
3,1510,624000,1922,80
4,2040,534000,1926,75
3,1640,505400,1926,68
3,1180,490000,1902,76
3,1570,440000,1947,68
2,720,151000,1949,53
4,2870,2000000,2012,50
5,4250,1810000,1984,69
3,4090,1680000,2007,69
3,2690,1650000,1975,64
4,2750,1450000,1914,63
5,4170,1300000,1991,62
5,2890,1100000,1963,64
4,3390,895000,1916,72
4,3310,885000,2010,71
4,3070,858000,1978,66
4,2810,750000,2011,68
4,2570,719000,2005,76
3,2660,650000,1976,64
4,2500,585000,1947,79
2,1110,585000,1951,62
3,1670,545000,1974,75
3,1660,515000,1954,53
4,2240,469000,1961,60
6,2390,462500,2014,72
3,1210,460000,1951,56
5,2500,455000,1963,74
4,2710,455000,1997,56
3,1100,428750,1929,70
4,2240,410000,2006,77
3,1420,404000,1947,73
2,700,395000,1943,56
3,1260,380000,1951,76
4,1812,370000,2011,73
2,820,365000,2009,60
3,1430,350000,1948,79
2,1150,350000,1944,80
3,1150,350000,1970,58
3,2070,329950,1987,80
3,1700,319950,1996,52
3,1520,310000,1958,63
2,2180,275000,1959,71
2,1440,265000,1990,71
3,1620,247500,1998,68
3,1350,245000,1981,67
3,1310,235000,1934,58
3,820,220000,1977,79
2,1090,204000,2007,76
3,1170,200000,1957,58
4,4730,3400000,1954,58
5,3630,1560000,2008,50
5,3520,1500000,2008,54
3,1890,1430000,1949,66
4,4680,1350000,2008,79
3,2240,1080000,1995,56
3,2950,992000,1966,53
5,2730,920000,1927,55
3,2480,910000,2010,59
4,2800,883000,1990,57
4,1720,772500,1928,58
3,2360,753000,1950,68
5,3240,750000,1958,78
4,2180,734000,2014,74
3,1590,720000,1939,55
3,2310,713000,2011,65
5,2110,674000,1946,50
4,2110,670000,1977,56
3,2160,670000,1954,69
4,2390,647000,2000,53
4,2460,638250,1989,65
4,2400,590000,1988,75
2,1370,585000,1949,70
4,1630,575000,1947,51
4,2870,564000,2004,56
4,2190,563500,1999,62
3,1580,551000,1947,78
4,4386,545000,2006,74
4,2120,525000,1965,62
3,1720,521000,1974,58
3,1480,516500,2004,69
3,940,500000,1964,58
4,1910,498500,1993,65
4,1810,495000,1960,57
3,1440,465000,2003,66
3,1920,465000,2014,76
4,2030,435000,1925,64
2,1160,425000,1947,74
2,1550,425000,1940,72
3,1670,425000,2007,57
2,1460,420000,1924,63
4,3360,420000,1990,50
3,1060,405000,2007,80
3,1490,390000,2009,56
3,1930,385000,1963,68
2,1300,378000,1963,58
3,1290,370000,1984,63
3,3085,359000,1959,59
5,1880,340000,1917,53
4,2150,339950,2010,76
4,3160,335000,1968,57
3,2200,315000,2004,61
3,1890,310000,2003,66
4,1714,305000,2010,67
3,1740,299950,2012,74
3,910,274250,1962,66
3,1230,273000,1992,66
3,1330,259500,1989,70
2,860,256000,1915,70
4,1760,247500,1962,66
3,870,177000,1969,72
3,1480,147000,1964,54
1,780,90000,1905,58
5,4340,2950000,2010,53
3,4200,2230000,1933,50
6,5110,2140000,1906,67
3,2580,1770000,1951,56
3,2710,1430000,1975,57
4,2960,1020000,1900,53
5,3450,950000,1992,73
3,3400,900000,2000,65
4,2850,895000,1998,75
2,3050,890000,1991,60
4,2890,855000,2014,77
3,3570,840000,1985,51
3,1080,818900,1919,72
3,1920,781000,2000,58
4,3220,763000,1994,77
2,1110,750000,1904,53
3,2480,729000,1990,58
5,2380,705000,1909,61
4,2810,702000,2005,77
3,1990,700000,1980,78
4,3510,695000,2001,60
3,1090,690000,1945,59
4,2210,640000,1999,65
4,2900,637000,2007,71
4,1770,632500,1906,74
3,2140,625000,1911,54
4,2130,620000,1988,57
4,1490,607000,1926,62
3,1980,606000,1911,63
3,1480,600000,1954,55
4,2940,590000,1974,73
4,2160,585000,1952,58
2,1250,575000,1911,54
3,1260,570000,1905,55
2,930,550500,1909,51
4,3148,550000,2014,78
3,1540,539000,1954,67
3,1990,536000,1993,57
4,2840,535000,2014,79
3,3140,532500,1984,50
3,1410,529500,2014,80
3,1880,529000,1993,63
3,2210,520000,1967,56
3,1900,515000,1925,52
3,1610,512500,1976,64
3,1610,512000,1977,56
3,2520,496000,1955,50
2,950,492000,1942,80
3,1770,490000,1962,67
3,1980,470000,1994,61
3,1550,453000,1949,63
3,2650,446500,1990,72
2,910,445000,1936,56
3,1500,431000,1953,78
3,1110,413252,1951,75
2,800,410000,1927,55
5,1550,405000,1961,73
4,3010,401000,1952,67
4,1070,400800,1923,52
3,1170,400000,1925,54
4,2180,390000,1962,73
5,2250,390000,1966,52
3,1320,385000,1995,54
1,620,385000,1954,50
4,2050,383000,2014,73
3,2150,380000,1980,68
3,2290,365000,1988,66
3,1280,360000,1945,58
5,2473,343000,1963,77
4,2350,339100,1992,68
3,1890,325000,1966,77
2,820,320000,1940,75
5,2110,315000,2005,64
3,2150,310000,1926,66
3,1090,292000,1929,70
3,2020,290000,2005,57
3,1280,280000,1991,80
3,1720,279950,1978,57
3,1850,279950,1978,79
3,2070,279000,1964,68
2,920,275000,1955,59
3,1570,273950,2002,78
3,1410,271920,1985,77
3,1470,265953,1975,68
4,1220,260000,1944,73
2,1400,250000,1929,68
3,1480,243000,1955,55
3,1300,242000,1962,74
2,1280,239950,1949,76
2,900,230000,1939,50
2,1510,226000,1951,77
3,1490,225000,1946,53
3,960,224975,1977,58
5,1930,218000,1966,78
3,1220,210500,1958,68
2,750,210000,1950,55
2,950,200000,1955,78
3,1220,196000,1953,77
2,1250,163000,1962,58
4,4150,1950000,1963,72
5,3930,1740000,2014,61
5,3310,1650000,2000,64
6,5740,1380000,2000,80
3,2050,1030000,1922,69
4,3180,1000000,1979,51
4,3530,910000,1986,72
4,3070,900000,1922,52
4,2970,855169,2014,74
4,2860,825050,1925,65
3,2920,795000,1975,64
3,2940,780000,1994,77
4,2100,759950,2005,72
3,1380,740000,1950,67
4,2210,733000,1977,62
4,3350,700000,2004,72
4,3140,680000,1991,55
4,1770,675000,1971,51
4,2350,635000,1980,67
3,1680,629950,2014,67
4,2350,625000,1960,75
3,2460,605000,1977,71
5,3470,599000,1978,71
4,2550,561000,2001,71
3,2040,552500,1958,80
5,2520,545000,1981,54
2,1380,543115,1947,75
3,1380,539000,1915,71
3,1790,525000,1985,50
3,1480,501000,1954,55
3,2100,499900,1999,69
3,1760,485000,1992,79
4,2600,480000,2005,80
3,2540,475000,1978,70
3,1600,453000,1966,50
4,2200,450000,1968,78
2,1180,447500,2004,77
2,1270,425000,1939,56
6,2290,420000,1980,73
3,1660,412500,1988,60
4,2669,402395,2014,60
4,2740,385000,1980,68
3,1520,385000,2006,76
4,1710,380000,1950,78
2,1450,355000,1965,62
3,1150,354500,1950,71
3,2570,348000,1989,80
4,2020,345000,1955,61
4,2665,340000,2006,52
4,2320,340000,2010,79
3,1654,336600,1995,69
3,1210,335000,1954,51
3,1770,316500,2005,60
4,2550,315000,1967,80
4,2020,308000,1993,55
3,1250,308000,2009,64
3,1190,306000,1959,71
3,1780,292000,1981,68
3,2099,289950,2010,71
3,1320,284000,1990,58
3,1470,264950,1967,60
2,1070,259950,2008,69
4,1270,256000,1950,71
3,1010,255000,1960,75
3,1490,255000,1990,59
3,1850,255000,1989,78
3,1130,250000,1952,55
3,1560,250000,1976,52
4,1790,244950,1966,67
4,1440,230000,1967,79
3,1720,230000,1981,73
3,1140,218000,1970,77
4,1340,205000,1970,69
3,1070,175000,1967,69
2,700,175000,1941,59
3,1250,150000,1968,55
3,1100,130000,1913,57
2,910,85000,1947,60
4,2950,1870000,1951,78
3,2790,1800000,1933,52
4,2170,1330000,1905,56
4,2660,1230000,1906,67
5,2830,1100000,1958,51
4,4080,1050000,2001,80
4,2620,1030000,1962,58
4,3980,970000,2002,78
3,3320,959000,1979,53
3,2340,850000,1981,71
4,3260,820000,2007,64
4,1600,725000,1926,63
3,3370,713900,2000,73
5,1900,685000,1966,70
4,2420,655000,1972,75
3,1870,619100,1977,58
3,2980,615000,1978,79
4,1670,605000,1917,64
3,2220,595000,1922,50
4,2330,595000,1984,57
4,2170,588000,1975,60
3,1790,585000,1974,77
3,1710,557000,2008,56
3,1740,550000,2000,76
3,2010,550000,2014,64
3,1010,550000,1942,65
4,2740,530000,2015,61
3,1550,530000,2005,78
4,3400,515000,2005,73
3,1800,508000,1978,58
4,2120,500000,1949,71
3,1620,450000,2009,74
4,2350,397500,1989,78
3,2430,369950,1977,51
4,2960,367000,2006,74
4,2506,365070,2006,57
2,1420,335000,2007,69
3,1840,325000,1978,52
4,2110,324950,2013,67
3,1630,308000,1979,55
4,2080,286950,1984,75
4,2040,284000,1994,54
3,1700,280000,1974,58
3,1350,272450,1954,57
4,1970,265000,1955,69
5,1950,262500,1980,78
3,1770,260000,2005,68
5,2200,259875,1996,75
3,1010,254000,1943,64
2,590,240000,1953,51
4,1540,235000,1955,59
4,1420,225000,1950,60
3,920,215150,1969,52
2,1050,198500,1959,74
3,1000,196000,1989,57
3,1430,195000,1958,55
3,1630,185850,1943,76
2,740,122000,1942,59
4,2040,475000,1997,65
4,2400,392500,1953,50
3,910,305000,1971,56
2,900,263300,1951,55
4,1910,340000,1987,52
5,2660,1710000,1959,73
2,3010,998160,1976,79
4,3820,991500,1995,73
3,2920,859000,1999,66
3,3020,775000,2008,50
3,1500,765000,1984,56
3,1360,763000,1942,74
4,2570,752000,1961,77
3,1760,750000,1927,72
4,3080,679000,1969,79
4,2480,665000,1994,76
2,2090,649000,1988,72
2,1280,649000,1908,65
5,2240,635000,1920,76
3,1550,622000,2003,65
5,2230,620000,1923,54
4,2110,610000,1988,76
3,1610,565000,1928,59
4,3160,558000,1997,68
3,1620,549500,1961,74
2,1530,546000,2010,64
3,2370,535950,2003,57
3,1880,535900,1975,75
5,2720,530000,1958,57
4,1610,526000,1966,76
2,1510,479950,2005,70
3,2480,470000,2004,51
4,2620,443000,1987,75
3,1800,440000,1982,73
3,1780,438000,1962,65
2,1460,437000,2007,78
4,2730,435000,1987,75
4,2820,428900,2006,74
3,2240,418200,1980,69
3,1220,415000,1950,63
3,1130,411500,1954,50
3,2220,400000,1993,62
3,1390,392500,1940,58
3,1200,385000,1978,69
3,1770,375000,1992,51
2,1320,369000,1942,78
3,1450,359000,2004,72
4,1970,352500,1962,62
3,1620,347500,1981,59
3,1180,347500,1960,65
4,2420,329990,1997,60
3,1480,325000,1984,51
4,2090,325000,1993,58
3,1590,320000,2004,51
3,1690,314950,2003,77
4,1890,311850,2014,79
3,770,307000,1942,50
3,1830,298900,1994,71
4,1650,295000,1964,73
3,1480,270000,1954,79
3,2840,270000,1977,53
3,1890,265000,1996,78
4,1960,260000,1967,70
2,690,260000,1949,73
3,1460,258500,1989,58
3,1350,255500,1942,66
3,1670,245000,1974,65
3,1250,230000,1955,75
3,1260,204555,1983,50
3,930,200000,1943,70
3,1110,190500,2007,56
3,1270,190000,1980,55
3,1200,185000,1966,65
5,3810,1700000,2014,72
4,3950,1700000,2015,50
3,3110,1500000,1980,79
4,3300,1250000,1933,55
4,2960,1140000,2007,72
5,3740,1080000,2013,50
3,2390,915000,1925,55
5,3160,820000,1960,64
4,2570,762450,1958,57
3,3680,722080,1988,75
4,2460,704111,1976,67
4,3130,685530,1996,76
3,1610,680000,1981,71
3,1900,645000,2007,80
1,1000,641500,1950,53
3,1680,629950,2014,78
4,2540,628990,1996,68
5,3070,620000,1995,68
4,2980,610000,2001,75
3,1460,602000,2008,78
3,2190,580000,1978,58
3,1700,570000,1909,63
3,1130,565000,1942,54
3,2030,562500,1988,51
5,2960,550000,1960,73
4,2230,549950,1981,65
2,1800,542000,1979,75
4,1680,525000,1962,60
3,1370,525000,2000,63
2,890,510000,1947,59
2,1580,495000,2004,62
3,1650,485000,1967,70
3,2030,485000,1976,56
4,1860,477500,1953,77
2,1800,472000,1979,65
4,1260,451000,1943,73
4,2980,450000,1979,70
3,1890,441000,1973,70
3,1000,425000,1946,72
3,1480,425000,2005,52
3,2390,420000,1920,60
2,1760,420000,2010,76
3,1150,420000,1946,67
4,1530,419950,1955,62
3,2080,415000,1988,53
2,2020,410000,1921,51
3,2000,399950,1989,75
3,1640,390000,1967,70
3,1330,386900,1963,68
4,3120,380000,2005,61
5,2740,370000,2005,67
3,1820,365000,1939,67
2,1320,352000,2004,74
4,1970,346900,1999,76
3,1150,344000,1969,69
3,1130,343000,2005,65
3,670,340000,1968,57
3,2350,339000,1989,70
3,1140,335000,1985,53
3,1160,315500,1986,74
3,1500,315001,1968,74
3,1810,300000,1988,59
4,2330,299900,1977,69
4,2120,285000,1954,77
3,1650,275000,1977,50
2,1000,257000,1929,79
2,1950,255000,1975,67
3,1440,252000,1925,70
4,1921,245000,2009,80
3,1380,230000,1963,64
2,960,212625,1951,78
3,970,205950,1970,66
3,1200,203000,1963,80
4,1760,194000,1962,65
5,5840,2200000,2006,70
3,2753,1350000,1953,61
5,3520,1100000,2001,73
4,3500,1010000,2004,51
4,1860,967000,1917,63
3,2030,906000,2013,51
4,2530,880000,1954,62
3,3000,850000,1983,70
4,3880,815000,2006,70
4,2360,805000,1911,73
5,3220,798000,2006,73
2,1940,790000,1923,76
4,2000,756100,1917,63
4,2190,730000,1977,57
4,3510,729950,2001,73
3,1630,725000,1955,75
3,2370,685000,2003,54
3,2500,685000,1979,80
4,2500,684000,1988,67
5,2440,680000,2014,62
3,1210,678500,1910,80
3,2740,675000,2004,79
2,2270,656000,2009,78
4,1600,645000,1946,57
3,2150,626000,1988,66
5,2000,620000,1962,59
3,1700,616300,1927,55
4,3270,600000,1997,71
3,1740,590000,2007,54
4,3520,589500,1929,56
2,890,587750,1941,79
3,2740,568000,1994,76
4,2020,565000,1900,72
4,2240,556000,2005,64
4,3710,552500,2002,60
5,2480,540000,1919,75
2,1250,520000,1926,74
4,2730,507000,2006,75
2,1070,505000,1942,79
4,2480,481000,1963,73
4,2030,474950,1975,60
2,1030,460000,1928,73
3,1420,450000,1976,59
7,2830,450000,1957,51
4,1560,430000,1962,52
4,1930,425000,1977,66
2,1000,420000,1953,79
3,3120,419950,2007,76
2,1170,400000,2001,59
3,1260,399900,1979,70
3,2300,395000,1989,61
3,2480,390000,1990,56
3,1540,384000,1998,70
2,1040,380000,1939,70
4,2090,374950,2012,72
2,850,370000,1916,51
4,2380,365650,1977,55
4,1870,355000,1954,63
4,2200,353000,1989,72
5,2980,352000,1968,72
4,1780,350000,1953,71
3,1520,345000,1969,55
4,2200,345000,1987,57
3,1880,320000,1984,80
3,1390,317000,1974,50
2,1050,310000,2005,57
3,1300,310000,2005,54
2,970,302860,2007,62
2,1100,300000,1950,78
2,1060,294950,1952,79
3,1900,280000,1977,67
3,1540,273000,1978,66
4,1400,259950,1963,73
3,1320,256500,1993,75
3,990,246000,1939,78
2,1240,240500,1922,67
2,800,230000,1942,53
3,1120,230000,1934,65
3,860,210000,1943,56
3,1120,205000,1976,51
3,1390,204900,1984,70
4,1790,197000,1979,74
4,1910,189950,1919,77
3,1350,172000,1959,70
2,790,159100,1944,80
3,1080,157000,1950,64
2,600,130000,1900,51
2,828,110000,1968,80
3,3780,1810000,1951,79
4,4070,1700000,2006,79
4,3790,1300000,1998,56
4,5300,1150000,1989,75
5,3280,965000,1981,54
4,3540,920000,2007,73
6,4430,875000,2001,74
3,3130,843000,1991,51
5,3920,827500,2000,51
3,3280,750000,2001,80
4,2410,745000,1909,50
4,2780,717000,1992,59
4,1660,680000,1915,63
3,2740,660000,2001,71
4,2440,650000,1957,55
5,2600,628000,2015,64
2,2910,620000,1985,52
3,1760,609950,1979,54
4,1780,580000,1953,60
4,2980,565000,2001,69
3,1540,565000,2008,67
3,1800,539000,1988,67
3,1110,532000,1946,74
5,1810,530000,1900,53
3,1680,530000,1973,70
3,2270,500000,1999,79
2,880,492000,1927,50
3,1410,490000,1923,74
3,1540,445000,1997,60
3,1270,435010,1954,72
3,2660,435000,1990,64
4,3010,433495,1988,65
5,1400,425000,1916,66
3,1950,425000,2007,75
4,2400,415000,1980,61
2,1220,400000,1942,56
3,1610,399950,2007,67
4,1660,399500,1947,60
3,1400,395000,1962,74
3,1450,394000,1923,61
4,2130,392000,2014,79
5,3800,380000,1965,60
3,1280,375000,2005,71
4,2100,370000,1914,75
4,1570,365000,1972,53
2,2320,360000,1942,52
4,3238,355425,1979,76
3,1260,350000,2003,75
4,1764,349950,1942,61
3,2550,349000,1989,51
3,1360,329950,1985,79
2,1030,326000,2008,66
4,1670,325000,1976,67
3,1890,323000,2003,71
2,1380,319900,1940,77
6,2540,317500,1977,63
4,2233,317500,2012,53
4,1450,309950,1966,75
3,1910,300000,1984,70
3,1140,294570,1960,68
2,1610,293000,1979,59
4,1560,290000,1942,64
3,1020,280000,2009,60
3,1390,278500,1985,57
5,2400,268000,2004,64
4,1320,250000,1914,70
3,1700,249000,1970,79
3,1600,239950,2014,60
3,1310,237950,1960,66
4,1920,235000,1962,55
2,1240,226800,1960,79
2,780,220000,1923,80
3,1040,217500,1959,54
5,1650,183750,1970,67
2,900,144975,1940,62
5,3750,2900000,1925,73
5,3120,1940000,1969,72
4,3130,1390000,2008,64
3,1590,1210000,1980,52
5,2520,1100000,1916,75
4,2240,975000,1967,61
4,3600,970000,2004,70
4,3770,940000,1964,72
9,2820,934000,1918,60
3,1900,921500,1926,60
4,1480,890000,1947,71
3,3180,850000,1918,50
3,2605,789800,1979,54
3,1820,775000,1914,59
5,1860,775000,1921,71
4,1920,719521,1966,74
4,3280,702000,2004,55
2,930,700000,1926,58
4,2470,700000,1940,80
2,1500,670000,2008,59
2,1310,663500,1946,51
2,1070,660000,1924,59
4,2290,625000,1963,74
4,2240,610000,1988,64
3,1560,590000,1981,62
4,2510,588000,1977,79
3,1580,580000,1987,60
2,860,580000,1925,50
4,2030,565000,1966,69
4,2120,560000,1917,67
4,2870,555000,2004,62
3,1780,526000,1977,56
3,2200,525000,2000,76
3,1810,517500,1973,50
6,2400,499000,1975,78
3,1470,479000,1987,78
3,1860,477500,1991,76
3,1520,475000,1945,72
5,2050,475000,1956,56
3,1730,465000,1971,72
3,2340,459950,2002,53
4,2420,449950,2007,73
2,1370,448175,2006,72
2,950,430000,1949,54
3,3610,425000,1918,67
4,2760,424950,2001,76
2,1160,415000,2007,75
3,1390,406000,1985,68
3,2120,400000,2006,57
3,1200,398500,1945,64
3,1630,395000,1988,64
4,2130,389000,2001,74
3,2828,367000,2013,74
3,2320,364808,1967,51
3,1890,355000,1962,56
3,1350,349990,1925,52
2,1800,334998,1942,64
4,1940,322000,1960,51
5,1940,299000,1960,65
3,2820,297975,1947,69
5,1690,285900,1961,57
3,1420,275000,1989,58
2,910,265000,1917,57
3,1200,263700,1950,72
3,1900,250000,1961,64
3,1400,249000,1917,61
2,860,235000,1943,61
3,1240,225000,1971,57
2,1330,175000,1925,73
3,970,172380,1962,63
4,1460,135000,1940,70
7,3890,1190000,1968,75
3,2060,685000,1931,79
5,2100,420000,1983,71
3,1560,399950,1988,50
3,1020,307000,1949,72
4,2010,250000,1976,78
4,3470,730000,2005,60
2,950,445000,1941,65
3,1270,317000,1955,71
5,4050,1600000,1973,66
3,2040,1300000,1940,79
4,3470,1220000,2014,78
3,3070,1200000,1987,75
3,2220,1100000,1928,63
3,3630,1090000,1972,69
3,2290,1070000,1995,73
3,3370,1070000,2014,78
4,2250,1060000,1967,51
5,3740,915557,1984,77
3,1600,845000,1929,74
4,3920,825000,1999,65
